[18 33  6 15  4 16  8  7 34 17],1.0,0.8874172185430463,"(0.1724137931034483, 10)",0.860677717559733
[18 12 17 14 15 10 22  3 33 29],1.0,0.8590604026845637,"(0.18333333333333332, 11)",0.8454212454212454
[17 16 14 15  9 18 35 27 12 33],0.9923076923076923,0.8657718120805369,"(0.18333333333333332, 11)",0.863525641025641
[16  9 34 17 15 18 35 12  6 14],1.0,0.9054054054054054,"(0.14754098360655737, 9)",0.86356345408977
[16 18 15  3 34  9 29 28 27 35],0.9927007299270073,0.912751677852349,"(0.11666666666666667, 7)",0.8588095238095239
[18 16 27 17  9 33 35 14  4  3],1.0,0.8705035971223022,"(0.15714285714285714, 11)",0.8683058608058609
[18 14 16 27 15  6  8 33 22 35],1.0,0.91875,"(0.061224489795918366, 3)",0.8588015493278652
[16  3 15 17 12 27 14 29 35  8],1.0,0.8611111111111112,"(0.1076923076923077, 7)",0.8587637362637363
[16 18 13 11  9  6  7 17 27  3],1.0,0.8214285714285714,"(0.14492753623188406, 10)",0.8597402597402597
[15 17 27 35  7  8 34 18 22 20],1.0,0.8838709677419355,"(0.2222222222222222, 12)",0.8473365231259968
[16 18 17 15  8 27 25 10  7  6],0.9928057553956835,0.8961038961038961,"(0.10909090909090909, 6)",0.8673351648351648
[15 17 16 14 12  3 33 27  7 34],1.0,0.8846153846153846,"(0.1320754716981132, 7)",0.8473441250692435
[16  6 12 14 15 34 17 29  7 18],1.0,0.9366197183098591,"(0.16417910447761194, 11)",0.8616392122054382
[34 15  3 27 17  6  9 18  7 16],1.0,0.8936170212765957,"(0.16176470588235295, 11)",0.8587774261159146
[15 17 16 18  3  6 29 34  4 35],1.0,0.9271523178807947,"(0.1896551724137931, 11)",0.8473124431069057
[16 17 18 25 33 15 12 14  9  3],1.0,0.8450704225352113,"(0.22388059701492538, 15)",0.8587639283473656
[17  3 15 35 34 14 12 16 27  8],1.0,0.9280575539568345,"(0.15714285714285714, 11)",0.8692948717948719
[16 27 17 14  7 18  8 19  4 34],1.0,0.918918918918919,"(0.13114754098360656, 8)",0.8645021645021647
[15 18 27 16  6 14 29 35 22 34],1.0,0.9136690647482014,"(0.1, 7)",0.8721428571428571
[18 27 15 17 12 16 29 19  6  7],1.0,0.9066666666666666,"(0.2033898305084746, 12)",0.8558988380041012
[18 34 17 27  6 14 25 19  4  7],1.0,0.8759124087591241,"(0.16666666666666666, 12)",0.8731087952539687
[15 16  3 27 18 14  5 17 12  7],1.0,0.9054054054054054,"(0.18032786885245902, 11)",0.8492595124174072
[16 17  5 15 18 33  7 34 14 35],1.0,0.8263888888888888,"(0.07692307692307693, 5)",0.8683058608058609
[27  6 16 34 17 12  7  9 15 35],1.0,0.8391608391608392,"(0.19696969696969696, 13)",0.862615629984051
[15 16  9  7  3  6 25 11  5  4],0.9849624060150376,0.8618421052631579,"(0.14035087719298245, 8)",0.8521016457559236
[16 18  4 12 34  7 13 15 17 19],0.9926470588235294,0.9,"(0.23728813559322035, 14)",0.8683208020050126
[16 18 34  6 33  5 15  3 19 35],1.0,0.8636363636363636,"(0.21818181818181817, 12)",0.8616391941391942
[18 17 16 15 34 29 19  6 13 12],0.9841269841269841,0.8671328671328671,"(0.18181818181818182, 12)",0.8597311460469357
[18 17 14 34 16  6 12 25 27 35],1.0,0.8897058823529411,"(0.136986301369863, 10)",0.8597343639149575
[14 17 15 18 12 16  9 23 11 27],1.0,0.9136690647482014,"(0.1, 7)",0.8673351648351648
[16 18 15  3  7 13 17  9 10 27],0.9924812030075187,0.8979591836734694,"(0.08064516129032258, 5)",0.8520971321021209
[17 33  3 16 15  6 27 14 34 35],1.0,0.891156462585034,"(0.16129032258064516, 10)",0.8558885581035742
[18 17  6 16 15 27 11  4 10 29],1.0,0.863013698630137,"(0.20634920634920634, 13)",0.8616483258987623
[17 16 18 34 35 14 29 27 12 33],1.0,0.8888888888888888,"(0.26785714285714285, 15)",0.8483116883116883
[15 16 34 18  3 13 33  6 27  9],1.0,0.8551724137931035,"(0.078125, 5)",0.8597357028935978
[17 18 27 15  6 16  3  8 19 34],0.9921875,0.8698630136986302,"(0.19047619047619047, 12)",0.8654578929011455
